plate_id,well,clone_id,prep_id,technical_rep,sample_type,assay_id,data_origin
DEMO01,G05,,blank6,1,blank,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,D02,,blank7,1,blank,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,G06,,blank8,1,blank,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,E03,,host1,1,host,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,G03,,host2,1,host,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,H02,,host3,1,host,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,A05,,host4,1,host,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,G08,,host5,1,host,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,B04,,host6,1,host,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,F05,,host7,1,host,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,H01,,host8,1,host,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,H07,C01,C01_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,F11,C01,C01_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,A07,C02,C02_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,F08,C02,C02_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,H11,C03,C03_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,B02,C03,C03_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,H04,C04,C04_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,E10,C04,C04_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,H03,C05,C05_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,H12,C05,C05_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,F10,C06,C06_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,A04,C06,C06_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,A06,C07,C07_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,C09,C07,C07_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,G04,C08,C08_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,D04,C08,C08_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,B06,C09,C09_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,F03,C09,C09_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,C01,C10,C10_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,E12,C10,C10_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,H05,C11,C11_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,E05,C11,C11_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,B10,C12,C12_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,D10,C12,C12_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,G10,C13,C13_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,E01,C13,C13_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,E06,C14,C14_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,D07,C14,C14_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,A11,C15,C15_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,F07,C15,C15_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,C02,C16,C16_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,A01,C16,C16_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,B05,C17,C17_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,G09,C17,C17_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,C08,C18,C18_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,D12,C18,C18_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,C10,C19,C19_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,C05,C19,C19_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,F01,C20,C20_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,F12,C20,C20_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,C07,C21,C21_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,D03,C21,C21_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,C04,C22,C22_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,H09,C22,C22_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,F06,C23,C23_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,C11,C23,C23_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,B12,C24,C24_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,H10,C24,C24_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,C03,C25,C25_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,G11,C25,C25_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,D08,C26,C26_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,D01,C26,C26_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,D05,C27,C27_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,C06,C27,C27_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,B01,C28,C28_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,A08,C28,C28_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,F04,C29,C29_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,D11,C29,C29_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,G07,C30,C30_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,G12,C30,C30_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,F09,C31,C31_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,E08,C31,C31_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,B03,C32,C32_prep1,1,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
DEMO01,F02,C32,C32_prep1,2,candidate,DEMO_LIPA_OPTICAL_V1,synthetic
